4.859326678902773922e-01,4.667373442883646639e-01
3.863676363362080202e-01,4.504271238965116275e-01
2.934402735524100359e-01,3.647984668392831864e-01
2.956528298091671281e-01,2.485881465473302188e-01
3.509667362280945446e-01,1.425717140002854266e-01
5.014205616875770932e-01,9.975738547167120607e-02
6.275362683227316829e-01,1.344166038043589084e-01
7.116134060795011873e-01,2.037350404697343687e-01
7.470143061876148849e-01,2.812085873310362638e-01
7.293138561335581471e-01,4.055740178189157774e-01
6.098358182686749451e-01,4.646985667393830344e-01
4.792949991200061155e-01,5.299394483067952910e-01
4.151308676740503301e-01,5.605211115415197343e-01
3.443290674578232680e-01,6.237232155599502503e-01
3.244160611470093269e-01,7.134294277151419506e-01
3.775174113091796513e-01,8.051744174193153913e-01
4.416815427551354367e-01,8.581826336928377597e-01
6.120483745254319263e-01,8.908030744765438325e-01
7.359515249038293128e-01,8.541050785948745006e-01
7.713524250119427883e-01,7.623600888907010598e-01
7.691398687551858071e-01,6.604212114416195822e-01
6.894878435119302651e-01,5.809088870313360298e-01
5.832851431875896164e-01,5.380945585027218092e-01
